anime_id,title,type,source,score,genre,episode
5333,Ikkitousen: Great Guardians Specials,Special,Unknown,6.72,"Comedy, Ecchi",6
31418,KanColle Movie,Movie,Card game,7.64,"Action, Military, Sci-Fi, Drama",1
26323,Hitotsu no Hana,OVA,Unknown,5.86,"Drama, Historical, Kids",1
28,Yakitate!! Japan,TV,Manga,8.02,"Comedy, Shounen",69
33975,3-Nen D-Gumi Glass no Kamen,TV,Manga,4.97,"Comedy, Parody, School",13
1303,The Animatrix,OVA,Other,7.32,"Action, Drama, Sci-Fi",9
2124,Code Geass: Hangyaku no Lelouch Recaps,Special,Original,7.11,"Action, Mecha, Military, School, Super Power",2
33527,Kubbe no Ongakukai,ONA,Picture book,4.63,"Fantasy, Music",1
36683,Overlord Movie: Manner Movie,Special,Unknown,6.85,Comedy,1
33979,Kowaremono: Risa Plus The Animation,OVA,Manga,6.72,Hentai,1
30398,Nani ga Dekiru ka na,Movie,Unknown,4.88,Comedy,1
35512,Honoo no Haramase Oppai: Ero Appli Gakuen The Animation,OVA,Visual novel,7.44,"Harem, Hentai, School",0
1474,City Hunter: Ai to Shukumei no Magnum,Movie,Manga,7.54,"Action, Comedy, Mystery, Shounen",1
30152,au x Rope,ONA,Unknown,3.76,"Slice of Life, Comedy",3
21959,Sore Ike! Anpanman: Kuruyuki-hime to Mote Mote Baikinman,Movie,Unknown,5.69,"Kids, Fantasy, Comedy",1
14127,Papa Love: Papa to Icha Ero Shitai Musume-tachi to Hitotsu Yane no Shita de,OVA,Visual novel,7.06,Hentai,2
5838,Furudera no Obake-soudou,Movie,Original,5,"Action, Adventure",1
6500,Seikon no Qwaser,TV,Manga,6.71,"Action, Super Power, Supernatural, Ecchi, Seinen",24
22477,Hello Kitty no Tomatta Big Ben,OVA,Unknown,6.24,"Fantasy, Kids",1
32195,Junjou Shoujo Et Cetera Specials,Special,Manga,6.59,Hentai,2
5649,Injuu Onna Kyoushi,OVA,Unknown,5.55,Hentai,3
30117,Monpy,TV,Unknown,5.67,"Kids, Adventure",18
1931,Futari wa Precure: Max Heart Movie 2 - Yukizora no Tomodachi,Movie,Original,7.26,"Fantasy, Magic, Comedy, Shoujo",1
18827,Hello Kitty: Mahou no Mori no Ohimesama,Movie,Unknown,6.1,"Fantasy, Kids, Magic",1
14093,Pokemon Best Wishes! Season 2,TV,Game,6.64,"Action, Adventure, Comedy, Fantasy, Kids",24
5902,Hyakujitsu no Bara,OVA,Manga,6.94,"Drama, Yaoi",2
31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,TV,Manga,8.63,"Action, Adventure, Comedy, Supernatural, Drama, Shounen",39
26123,Seitokai Yakuindomo* OVA,OVA,4-koma manga,7.96,"Slice of Life, Comedy, School, Shounen",9
462,One Piece Movie 4: Dead End no Bouken,Movie,Manga,7.7,"Action, Adventure, Comedy, Super Power, Fantasy, Shounen",1
5648,Bouken Shite mo Ii Koro,OVA,Manga,5.58,"Comedy, Seinen",3
6731,Ultraman Kids no Kotowaza Monogatari,TV,Other,6.28,"Comedy, Kids, Super Power",26
5936,Hashire! Shiroi Ookami,Movie,Unknown,6.48,Drama,1
15607,Ai no Wakakusa Monogatari Specials,Special,Unknown,6.42,"Drama, Historical, Slice of Life",2
23051,Ga no Iru Tokoro,Movie,Original,4.39,Dementia,1
4211,Hareluya II Boy,TV,Manga,6.61,"Action, Fantasy, Comedy, School, Shounen",25
1526,Pokemon Advanced Generation: Mew to Hadou no Yuusha Lucario,Movie,Game,7.38,"Action, Adventure, Drama, Fantasy, Kids",1
5955,Toaru Majutsu no Index-tan,Special,Unknown,7.07,"Comedy, Parody",2
37476,Cardfight!! Vanguard (2018),TV,Manga,7.55,"Action, Game, Shounen",0
2738,Kasumin 3rd Season,TV,Unknown,6.27,"Kids, Fantasy",26
